> -Z0
29.719166 59.975418
29.719166 59.972916
29.717501 59.972916
29.717501 59.973194
29.716944 59.973194
29.716944 59.973473
29.716389 59.973473
29.716389 59.973751
29.715279 59.973751
29.715279 59.974304
29.714722 59.974304
29.714722 59.974583
29.715279 59.974583
29.715279 59.974861
29.716389 59.974861
29.716389 59.975418
29.716944 59.975418
29.716944 59.974861
29.718056 59.974861
29.718056 59.975418
29.719166 59.975418
> -Z1
29.747499 59.979584
29.747499 59.979027
29.748611 59.979027
29.748611 59.978195
29.746389 59.978195
29.746389 59.978474
29.745832 59.978474
29.745832 59.978748
29.744722 59.978748
29.744722 59.979305
29.745832 59.979305
29.745832 59.980694
29.749166 59.980694
29.749166 59.979862
29.748056 59.979862
29.748056 59.979584
29.747499 59.979584
> -Z2
29.736389 59.990417
29.736389 59.989029
29.733055 59.989029
29.733055 59.989582
29.732500 59.989582
29.732500 59.990139
29.731945 59.990139
29.731945 59.990417
29.736389 59.990417
> -Z3
30.011391 59.996529
30.011391 59.996250
30.014166 59.996250
30.014166 59.995972
30.014723 59.995972
30.014723 59.995693
30.015278 59.995693
30.015278 59.995419
30.015833 59.995419
30.015833 59.994305
30.015278 59.994305
30.015278 59.994026
30.014723 59.994026
30.014723 59.993752
30.014166 59.993752
30.014166 59.992363
30.011391 59.992363
30.011391 59.992085
30.010281 59.992085
30.010279 59.992363
30.009722 59.992363
30.009722 59.992638
30.009169 59.992638
30.009169 59.993195
30.008612 59.993195
30.008612 59.993752
30.008055 59.993752
30.008055 59.994305
30.007500 59.994305
30.007500 59.994583
30.004723 59.994583
30.004723 59.994862
30.004168 59.994862
30.004168 59.995419
30.004723 59.995419
30.004723 59.995693
30.005278 59.995693
30.005278 59.995972
30.006945 59.995972
30.006945 59.995693
30.007500 59.995693
30.007500 59.995972
30.008055 59.995972
30.008055 59.996250
30.009169 59.996250
30.009169 59.996529
30.011391 59.996529
> -Z4
29.888670 60.212891
29.960972 60.194782
30.010996 60.184792
30.079668 60.166798
30.129856 60.156677
30.237600 60.140625
30.306147 60.135372
30.354225 60.131187
30.384344 60.128212
30.390406 60.122791
30.369991 60.107704
30.348211 60.074337
30.351616 60.050980
30.379482 60.033703
30.500511 59.996212
30.524717 59.986141
30.529917 59.975147
30.522341 59.948223
30.498112 59.906906
30.495495 59.887321
30.499983 59.871544
30.517311 59.850914
30.567070 59.835304
30.619202 59.818104
30.665751 59.809517
30.706268 59.798073
30.758394 59.776623
30.774820 59.758648
30.770929 59.743565
30.751455 59.723347
30.720364 59.708939
30.681267 59.693501
30.643419 59.690971
30.612617 59.698448
30.598969 59.701900
30.566631 59.694042
30.543209 59.679512
30.526047 59.655380
