> Croatia
13.5904 45.4857
13.5979 45.4768
13.5985 45.476
13.6001 45.4737
13.6012 45.4718
13.6054 45.4665
13.6091 45.462
13.6142 45.4552
13.6196 45.4479
13.6281 45.4422
13.6335 45.4397
13.6389 45.4378
13.6484 45.434
13.6559 45.4314
13.6589 45.4303
13.6677 45.4289
13.6732 45.4288
13.6833 45.4286
13.6908 45.4293
13.6967 45.4301
13.7036 45.4314
13.7113 45.4342
13.7222 45.4364
13.7326 45.4363
13.7407 45.4353
13.7452 45.435
13.7526 45.4331
13.7597 45.4331
13.7776 45.4319
13.7834 45.4322
13.7921 45.4347
13.8031 45.4389
13.8083 45.4399
13.8168 45.4396
13.8294 45.4385
13.8404 45.4375
13.8443 45.4381
13.8453 45.4382
13.8516 45.4392
13.8625 45.4416
13.874 45.4428
13.8886 45.4424
13.9011 45.4433
13.9113 45.4462
13.9235 45.4481
13.9277 45.4489
13.9364 45.4504
13.948 45.4537
13.9569 45.4564
13.9587 45.4576
13.9682 45.4641
13.9774 45.4697
13.9891 45.4753
13.9993 45.4813
14 45.4816
14.0134 45.4875
14.0284 45.4912
14.037 45.4934
14.0508 45.4947
14.0641 45.4948
14.0763 45.4925
14.0868 45.4887
14.1023 45.4861
14.1222 45.4816
14.1283 45.4804
14.1317 45.4798
14.1386 45.4785
14.1468 45.4748
14.1559 45.4735
14.1667 45.4745
14.179 45.4743
14.1891 45.4747
14.1892 45.4747
14.1951 45.4742
14.1992 45.4739
14.2044 45.4724
14.2101 45.4707
14.2146 45.4699
14.2188 45.4695
14.223 45.4691
14.2353 45.4678
14.2366 45.4678
14.248 45.4678
14.2481 45.4678
14.2626 45.4666
14.2749 45.4655
14.2752 45.4654
14.2782 45.4652
14.2894 45.4645
14.3053 45.4621
14.3097 45.462
14.317 45.4619
14.3279 45.4604
14.339 45.4604
14.3596 45.462
14.3744 45.4628
14.3912 45.4654
14.3978 45.4665
14.3989 45.4667
14.4067 45.4678
14.4106 45.4688
14.4135 45.4698
14.4141 45.47
14.425 45.474
14.4274 45.4748
14.436 45.477
14.4426 45.4784
14.4459 45.4785
14.4574 45.4797
14.4676 45.4814
14.4776 45.4835
14.4838 45.4844
14.4914 45.4849
14.5005 45.4854
14.5131 45.4881
14.5133 45.4882
14.5243 45.4912
14.5271 45.4919
14.5353 45.496
14.5396 45.502
14.5397 45.5071
14.5392 45.5137
14.5393 45.5187
14.5396 45.5229
14.54 45.5324
14.5418 45.539
14.5477 45.548
14.5511 45.5538
14.5529 45.5601
14.5538 45.564
14.5543 45.5662
14.5552 45.5744
14.5555 45.577
14.5589 45.5828
14.5634 45.5911
14.5657 45.5995
14.5706 45.6083
14.5766 45.6179
14.5782 45.6201
14.5796 45.6221
14.5881 45.6307
14.5953 45.635
14.602 45.6373
14.606 45.6385
14.6119 45.6387
14.617 45.6369
14.6197 45.6347
14.622 45.6303
14.6249 45.6247
14.628 45.6165
14.6284 45.6154
14.6322 45.6105
14.6328 45.6098
14.6368 45.6062
14.639 45.6039
14.6429 45.6002
14.6491 45.5967
14.6519 45.5956
14.6558 45.5939
14.6592 45.5925
14.6672 45.5906
14.6675 45.5904
14.6751 45.5861
14.6806 45.582
14.6846 45.5789
14.6886 45.5721
14.6905 45.567
14.6898 45.5624
14.6898 45.5615
14.6896 45.5593
14.6893 45.5556
14.6895 45.5496
14.6923 45.5475
14.7012 45.5409
14.7068 45.5375
14.7157 45.5348
14.7204 45.5336
14.724 45.5327
14.7338 45.5302
14.7349 45.5299
14.748 45.5267
14.7649 45.5182
14.7699 45.5143
14.7707 45.5136
14.7758 45.5077
14.7812 45.5027
14.7889 45.4958
14.7927 45.492
14.7949 45.4898
14.7989 45.4862
14.8116 45.4703
14.8162 45.4672
14.8215 45.4644
14.824 45.464
14.8248 45.4638
14.8318 45.4624
14.8377 45.4629
14.8466 45.4646
14.8526 45.4654
14.858 45.4643
14.8646 45.4648
14.8698 45.4652
14.8844 45.4676
14.8927 45.4705
14.9009 45.4747
14.9021 45.4755
14.9085 45.4799
14.9135 45.4844
14.9138 45.4847
14.9186 45.4916
14.9217 45.4974
14.9226 45.5004
14.9231 45.5063
14.9231 45.5088
14.9231 45.51
14.9234 45.5141
14.924 45.517
14.9251 45.522
14.9277 45.5267
14.9277 45.5267
14.9312 45.5289
14.9346 45.5304
14.9379 45.5318
14.9445 45.5325
14.9459 45.5326
14.9503 45.5311
14.9563 45.529
14.9617 45.5267
14.9685 45.5225
14.9734 45.5189
14.9768 45.5169
14.9821 45.5133
14.988 45.5098
14.9949 45.5068
15 45.4977
15.0034 45.4959
15.0038 45.4957
15.0188 45.4876
15.0223 45.4866
15.0308 45.4842
15.0435 45.4864
15.0514 45.489
15.0595 45.4898
15.0599 45.4897
15.0743 45.4887
15.0819 45.483
15.082 45.4829
15.087 45.4745
15.0892 45.4705
15.0902 45.4686
15.0906 45.4678
15.0964 45.4603
15.1011 45.4547
15.1015 45.4542
15.1057 45.4494
15.1114 45.441
15.1213 45.4341
15.1312 45.4272
15.1365 45.4218
15.1457 45.4152
15.1551 45.4131
15.1603 45.4133
15.1673 45.4134
15.1819 45.4171
15.1919 45.4178
15.2017 45.4196
15.204 45.4203
15.2177 45.4241
15.2274 45.4292
15.2297 45.4309
15.2383 45.4375
15.2483 45.4451
15.254 45.4493
15.2545 45.4496
15.2606 45.4514
15.264 45.4524
15.2771 45.4544
15.2887 45.4541
15.2988 45.4518
15.3055 45.4529
15.3106 45.4537
15.3253 45.4543
15.3286 45.4553
15.3373 45.4578
15.3388 45.4582
15.3401 45.4586
15.3475 45.4623
15.3531 45.465
15.3621 45.47
15.3733 45.4769
15.3738 45.4773
15.3821 45.4844
15.389 45.4915
15.393 45.4968
15.3961 45.5057
15.3964 45.5103
15.3965 45.5123
15.3949 45.5216
15.3908 45.5281
15.3814 45.5347
15.3803 45.5355
15.3784 45.5368
15.3692 45.5408
15.3618 45.5439
15.3557 45.546
15.3532 45.5468
15.3437 45.5508
15.3353 45.5551
15.3274 45.5605
15.3266 45.5611
15.3214 45.5662
15.3152 45.5783
15.312 45.5874
15.3113 45.5931
15.3118 45.5992
15.3138 45.6089
15.3174 45.619
15.3181 45.621
15.3238 45.6266
15.3359 45.6354
15.3367 45.636
15.3449 45.6364
15.3465 45.6364
15.3546 45.6358
15.3634 45.6352
15.3817 45.6348
15.3965 45.6363
15.3987 45.6381
15.4048 45.6433
15.406 45.6458
15.409 45.6521
15.4108 45.6637
15.4104 45.6697
15.4078 45.6775
15.402 45.6826
15.3951 45.6864
15.3823 45.6902
15.3669 45.6907
15.351 45.6865
15.3357 45.6847
15.3352 45.6847
15.3163 45.6836
15.3102 45.6882
15.307 45.6934
15.3044 45.6998
15.3051 45.708
15.3077 45.712
15.3107 45.7163
15.3198 45.7225
15.3297 45.7283
15.338 45.7335
15.3491 45.7399
15.3583 45.7444
15.3685 45.7489
15.3792 45.7513
15.3901 45.7554
15.4021 45.7593
15.4185 45.7629
15.4266 45.7639
15.4317 45.7646
15.4471 45.7653
15.4546 45.766
15.4588 45.7664
15.4675 45.7674
15.4758 45.7716
15.4867 45.7787
15.4923 45.7844
15.4993 45.7927
15.5084 45.803
15.5139 45.809
15.5238 45.8166
15.5317 45.8208
15.5433 45.8265
15.5536 45.8291
15.5639 45.8319
15.5761 45.8368
15.5882 45.8361
15.5986 45.8354
15.6216 45.8381
15.6298 45.8372
15.643 45.8357
15.6512 45.8364
15.6596 45.8371
15.6665 45.8404
15.6792 45.8484
15.683 45.8508
15.6856 45.8524
15.6901 45.8575
15.6906 45.858
15.692 45.8616
15.6937 45.8658
15.6927 45.874
15.6946 45.8805
15.6931 45.8891
15.693 45.8898
15.6919 45.8959
15.6926 45.902
15.6926 45.9028
