> Slovenia
13.721071 45.594471
13.724405 45.594978
13.733933 45.596603
13.751206 45.596443
13.772917 45.586338
13.796124 45.580544
13.817235 45.578911
13.828360 45.579803
13.837207 45.582325
13.855783 45.587627
13.869091 45.593273
13.880000 45.610191
13.898376 45.621452
13.907331 45.629238
13.909201 45.634228
13.907813 45.639301
13.895809 45.647602
13.874217 45.653378
13.857988 45.662231
13.840435 45.689236
13.838194 45.692692
13.836658 45.694782
13.824374 45.711552
13.822417 45.711597
13.793022 45.740200
13.781172 45.745514
13.750335 45.750328
13.739345 45.753094
13.721138 45.762657
13.711757 45.772255
13.702771 45.776112
13.682455 45.790066
13.682495 45.790981
13.672229 45.795555
13.664444 45.797096
13.653297 45.796700
13.638456 45.796165
13.624468 45.795666
13.609628 45.800560
13.597489 45.807461
13.588446 45.817947
13.590208 45.820892
13.589492 45.823338
13.586780 45.832634
13.577530 45.846107
13.577294 45.863743
13.582070 45.868214
13.589551 45.890034
13.593377 45.895222
13.593089 45.896137
13.612811 45.905109
13.617561 45.916458
13.625759 45.924065
13.643918 45.934437
13.648020 45.938236
13.641755 45.945011
13.647699 45.968464
13.645952 45.973537
13.641158 45.975224
13.642962 45.980236
13.637601 45.987839
13.625206 45.987026
13.601861 45.986149
13.585841 45.987629
13.566287 45.975445
13.543066 45.969521
13.537003 45.965752
13.529202 45.967518
13.515278 45.979931
13.513947 45.979496
13.500719 45.985031
13.478536 46.004475
13.504607 46.023632
13.509947 46.033592
13.510362 46.043659
13.497364 46.055138
13.496360 46.062710
13.503426 46.066689
13.520909 46.068165
13.527639 46.071918
13.537652 46.083385
13.569306 46.093266
13.584398 46.107822
13.619937 46.123325
13.636673 46.137390
13.647477 46.143570
13.659202 46.155678
13.660873 46.171207
13.666951 46.182060
13.658419 46.190247
13.645465 46.195335
13.629935 46.194290
13.615275 46.190483
13.601330 46.195587
13.579926 46.195801
13.566663 46.193787
13.562760 46.195015
13.554638 46.213257
13.545262 46.217571
13.523043 46.222145
13.523100 46.223515
13.511017 46.218266
13.504140 46.219322
13.491664 46.228500
13.467849 46.226460
13.467886 46.227371
13.452582 46.232018
13.444536 46.220512
13.435122 46.215889
13.423158 46.213379
13.413069 46.216549
13.410954 46.221394
13.421748 46.235836
13.420348 46.242039
13.403889 46.259285
13.395335 46.284855
13.383560 46.295834
13.383071 46.300190
13.387163 46.303547
13.407855 46.309322
13.419087 46.317799
13.423989 46.324802
13.442430 46.331760
13.446630 46.337631
13.445568 46.344055
13.438439 46.355640
13.439348 46.361801
13.448750 46.365505
13.471907 46.366192
13.499263 46.372517
13.517421 46.387932
13.528860 46.392735
13.559995 46.401939
13.567670 46.403610
13.576942 46.411655
13.584833 46.433689
13.596026 46.440090
13.625937 46.443127
13.641283 46.446003
13.661037 46.443752
13.676060 46.439312
13.689333 46.440163
13.695808 46.444374
13.696635 46.448017
13.695278 46.462002
13.709125 46.475430
13.712235 46.485668
13.709837 46.491207
13.706331 46.501579
13.713891 46.507591
13.721017 46.511326
13.715815 46.520821
13.715630 46.524029
13.750997 46.522106
13.768787 46.519886
13.795171 46.510139
13.813437 46.511105
13.836949 46.517891
13.873555 46.521164
13.906323 46.520401
13.929755 46.518478
13.975634 46.501595
13.993007 46.491337
13.996576 46.489872
14.009497 46.483383
14.017777 46.483410
14.044573 46.495800
14.057758 46.494560
14.081966 46.488697
14.095835 46.487892
14.120139 46.477665
14.139792 46.454746
14.151527 46.445065
14.159047 46.437088
14.191519 46.444035
14.224237 46.443180
14.235382 46.435112
14.241673 46.435177
14.275689 46.445950
14.284269 46.445488
14.309717 46.438862
14.316147 46.435482
14.336278 46.434483
14.353848 46.440872
14.374718 46.441219
14.424839 46.449451
14.432070 46.448563
14.438335 46.442436
14.433074 46.437317
14.442630 46.430870
14.460203 46.425800
14.460257 46.426716
14.483134 46.416225
14.491472 46.417362
14.504348 46.422489
14.504401 46.423405
14.516026 46.429710
14.528986 46.419498
14.550258 46.393475
14.554180 46.381687
14.561567 46.378040
14.581042 46.382969
14.579226 46.391262
14.591008 46.405567
14.582014 46.420944
14.581436 46.427830
